,TestStatistic,1840pad,1840pbe,1840pcf,10310_4134pa,ski2008pa,23182pa,7207_339pa,SCRAPIE,9914_1261pa,2867pbd,2867pac,SCA,19677_1261pa,19677_1261pb,HD,14499pab,AllIndStudies,Meta,TestStatistic
,,scrapie,scrapie,scrapie,scrapie,scrapie,scrapie,scrapie,all scrp,SCA,SCA,SCA,all SCA,Huntington,Huntington,all HD,Alzheim,,,
NM_001122892,1.17047594297919,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.17047594297919
NM_001122895,1.65606585678484,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.65606585678484
NM_001126182,0.596119883367324,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.596119883367324
NM_001127191,0.425570889062213,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.425570889062213
NM_001130450,0.601598627618125,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.601598627618125
NM_001136077,0.478704454181264,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.478704454181264
NM_001136091,0.083169788057488,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.083169788057488
NM_001136227,-1.43663652238899,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-1.43663652238899
NM_001141965,0.083840334331817,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.083840334331817
NM_001142441,-1.70443575837,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-1.70443575837
NM_001145834,-0.678838577388985,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.678838577388985
NM_001145835,-0.678838577388985,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.678838577388985
NM_001145836,-0.678838577388985,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.678838577388985
NM_001159583,-1.19578813975509,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.19578813975509
NM_001159866,-1.41439559402683,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.41439559402683
NM_001160316,-1.54091934195633,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.54091934195633
NM_001160317,-1.54091934195633,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.54091934195633
NM_001160318,-1.54091934195633,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.54091934195633
NM_001165902,-1.10962764257588,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.10962764257588
NM_001171034,-1.08477609554887,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.08477609554887
NM_001171035,-1.08477609554887,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.08477609554887
NM_001171036,-1.08477609554887,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.08477609554887
NM_001172207,-1.47188618187228,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.47188618187228
NM_001197147,-1.43021116492628,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.43021116492628
NM_007382,-1.84420585807452,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.84420585807452
NM_007416,-1.38548979245674,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.38548979245674
NM_007470,-2.73414815187711,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-2.73414815187711
NM_007510,2.28923567575951,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2.28923567575951
NM_007520,-1.81218365556129,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.81218365556129
NM_007547,0.284161766385003,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.284161766385003
NM_007572,-1.08959683665952,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-1.08959683665952
NM_007591,-1.14281758437821,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.14281758437821
NM_007607,1.64205449262548,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.64205449262548
NM_007614,-0.967498229191356,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.967498229191356
NM_007631,0.650382615907248,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.650382615907248
NM_007651,-0.371211239323683,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.371211239323683
NM_007677,1.00056744680258,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.00056744680258
NM_007684,-3.1147688464834,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-3.1147688464834
NM_007707,2.33125108037031,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2.33125108037031
NM_007801,-1.18304066986502,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.18304066986502
NM_007829,-2.25066236360667,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-2.25066236360667
NM_007830,-1.62186272594136,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.62186272594136
NM_007831,2.65720724248758,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2.65720724248758
NM_007838,-0.178623969169803,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.178623969169803
NM_007896,-3.71980956671389,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-3.71980956671389
NM_007913,2.23336509985148,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.23336509985148
NM_007918,0.026403649780184,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.026403649780184
NM_007943,-0.687710495707636,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.687710495707636
NM_008128,-1.36262839105171,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.36262839105171
NM_008149,0.618583715486773,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.618583715486773
NM_008167,1.3437323702253,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.3437323702253
NM_008180,0.686350336510148,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.686350336510148
NM_008278,-4.28320591344984,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-4.28320591344984
